Destination Plate,Well,Destination Barcode,Antibody Clone Name,Source Plate,Source Barcode,SourceWell,Volume Transfer,Volume Diluent
Dest_01,A1,,Sample1,Source_01,,A1,100,50
Dest_01,B1,,Sample2,Source_01,,B1,100,50
Dest_01,C1,,Sample3,Source_01,,E2,100,50
Dest_01,D1,,Sample4,Source_01,,F2,100,50
Dest_01,E1,,Sample5,Source_01,,A3,100,50
Dest_01,F1,,Sample6,Source_01,,G3,100,50
Dest_01,G1,,Sample7,Source_01,,H3,100,50
Dest_01,H1,,Sample8,Source_01,,A4,100,50
Dest_01,A2,,Sample9,Source_01,,B4,100,50
Dest_01,B2,,Sample10,Source_01,,D4,100,50
Dest_01,C2,,Sample11,Source_01,,F4,100,50
Dest_01,D2,,Sample12,Source_01,,H4,100,50
Dest_01,E2,,Sample13,Source_01,,A5,100,50
Dest_01,F2,,Sample14,Source_01,,B5,100,50
Dest_01,G2,,Sample15,Source_01,,D5,100,50
Dest_01,H2,,Sample16,Source_01,,F5,100,50
Dest_01,A3,,Sample17,Source_01,,A6,100,50
Dest_01,B3,,Sample18,Source_01,,D6,100,50
Dest_01,C3,,Sample19,Source_01,,G6,100,50
Dest_01,D3,,Sample20,Source_01,,B7,100,50
Dest_01,E3,,Sample21,Source_01,,E7,100,50
Dest_01,F3,,Sample22,Source_01,,H7,100,50
Dest_01,G3,,Sample23,Source_01,,A8,100,50
Dest_01,H3,,Sample24,Source_01,,B8,100,50
Dest_01,A4,,Sample25,Source_01,,D8,100,50
Dest_01,B4,,Sample26,Source_01,,A9,100,50
Dest_01,C4,,Sample27,Source_01,,C9,100,50
Dest_01,D4,,Sample28,Source_01,,D9,100,50
Dest_01,E4,,Sample29,Source_01,,E9,100,50
Dest_01,F4,,Sample30,Source_01,,F9,100,50
Dest_01,G4,,Sample31,Source_01,,G9,100,50
Dest_01,H4,,Sample32,Source_01,,B10,100,50
Dest_01,A5,,Sample33,Source_01,,D10,100,50
Dest_01,B5,,Sample34,Source_01,,E10,100,50
Dest_01,C5,,Sample35,Source_01,,F10,100,50
Dest_01,D5,,Sample36,Source_01,,A11,100,50
Dest_01,E5,,Sample37,Source_01,,A12,100,50
Dest_01,F5,,Sample38,Source_01,,B12,100,50
Dest_01,G5,,Sample39,Source_01,,D12,100,50
Dest_01,H5,,Sample40,Source_01,,E12,100,50
Dest_01,A6,,Sample41,Source_02,,A1,100,50
Dest_01,B6,,Sample42,Source_02,,B1,100,50
Dest_01,C6,,Sample43,Source_02,,D1,100,50
Dest_01,D6,,Sample44,Source_02,,H1,100,50
Dest_01,E6,,Sample45,Source_02,,C2,100,50
Dest_01,F6,,Sample46,Source_02,,H2,100,50
Dest_01,G6,,Sample47,Source_02,,A3,100,50
Dest_01,H6,,Sample48,Source_02,,B3,100,50
Dest_01,A7,,Sample49,Source_02,,D3,100,50
Dest_01,B7,,Sample50,Source_02,,G3,100,50
Dest_01,C7,,Sample51,Source_02,,F4,100,50
Dest_01,D7,,Sample52,Source_02,,H4,100,50
Dest_01,E7,,Sample53,Source_02,,A5,100,50
Dest_01,F7,,Sample54,Source_02,,B5,100,50
Dest_01,G7,,Sample55,Source_02,,D5,100,50
Dest_01,H7,,Sample56,Source_02,,A6,100,50
Dest_01,A8,,Sample57,Source_02,,C6,100,50
Dest_01,B8,,Sample58,Source_02,,D6,100,50
Dest_01,C8,,Sample59,Source_02,,E6,100,50
Dest_01,D8,,Sample60,Source_02,,B7,100,50
Dest_01,E8,,Sample61,Source_02,,D7,100,50
Dest_01,F8,,Sample62,Source_02,,G7,100,50
Dest_01,G8,,Sample63,Source_02,,A9,100,50
Dest_01,H8,,Sample64,Source_02,,C9,100,50
Dest_01,A9,,Sample65,Source_02,,F9,100,50
Dest_01,B9,,Sample66,Source_02,,G9,100,50
Dest_01,C9,,Sample67,Source_02,,H10,100,50
Dest_01,D9,,Sample68,Source_02,,A11,100,50
Dest_01,E9,,Sample69,Source_02,,G11,100,50
Dest_01,F9,,Sample70,Source_02,,H11,100,50
Dest_01,G9,,Sample71,Source_02,,D12,100,50
Dest_01,H9,,Sample72,Source_02,,F12,100,50
Dest_01,A10,,Sample73,Source_02,,A1,100,50
Dest_01,B10,,Sample74,Source_02,,C1,100,50
Dest_01,C10,,Sample75,Source_02,,E1,100,50
Dest_01,D10,,Sample76,Source_02,,F1,100,50
Dest_01,E10,,Sample77,Source_02,,B2,100,50
Dest_01,F10,,Sample78,Source_02,,G2,100,50
Dest_01,G10,,Sample79,Source_02,,G3,100,50
Dest_01,H10,,Sample80,Source_02,,H3,100,50
Dest_01,A11,,Sample81,Source_02,,B4,100,50
Dest_01,B11,,Sample82,Source_02,,C4,100,50
Dest_01,C11,,Sample83,Source_02,,H4,100,50
Dest_01,D11,,Sample84,Source_02,,E5,100,50
Dest_01,E11,,Sample85,Source_02,,H5,100,50
Dest_01,F11,,Sample86,Source_02,,F6,100,50
Dest_01,G11,,Sample87,Source_02,,H6,100,50
Dest_01,H11,,Sample88,Source_02,,B7,100,50
Dest_01,A12,,Sample89,Source_02,,E7,100,50
Dest_01,B12,,Sample90,Source_02,,G7,100,50
Dest_01,C12,,Sample91,Source_02,,H7,100,50
Dest_01,D12,,Sample92,Source_02,,C8,100,50
Dest_01,E12,,Sample93,Source_02,,D8,100,50
Dest_01,F12,,Sample94,Source_02,,F8,100,50
Dest_01,G12,,Sample95,Source_02,,A9,100,50
Dest_01,H12,,Sample96,Source_02,,B9,100,50
Dest_02,A1,,Sample97,Source_02,,G9,100,50
Dest_02,B1,,Sample98,Source_02,,A10,100,50
Dest_02,C1,,Sample99,Source_02,,C10,100,50
Dest_02,D1,,Sample100,Source_02,,F10,100,50
Dest_02,E1,,Sample101,Source_02,,D11,100,50
Dest_02,F1,,Sample102,Source_02,,E11,100,50
Dest_02,G1,,Sample103,Source_02,,H11,100,50
Dest_02,H1,,Sample104,Source_02,,A12,100,50
Dest_02,A2,,Sample105,Source_02,,F12,100,50
Dest_02,B2,,Sample106,Source_02,,B1,100,50
Dest_02,C2,,Sample107,Source_02,,C1,100,50
Dest_02,D2,,Sample108,Source_02,,E1,100,50
Dest_02,E2,,Sample109,Source_02,,C2,100,50
Dest_02,F2,,Sample110,Source_02,,D2,100,50
Dest_02,G2,,Sample111,Source_02,,E2,100,50
Dest_02,H2,,Sample112,Source_02,,A4,100,50
Dest_02,A3,,Sample113,Source_02,,D5,100,50
Dest_02,B3,,Sample114,Source_02,,G6,100,50
Dest_02,C3,,Sample115,Source_02,,H6,100,50
Dest_02,D3,,Sample116,Source_02,,C7,100,50
Dest_02,E3,,Sample117,Source_02,,H8,100,50
Dest_02,F3,,Sample118,Source_02,,A9,100,50
Dest_02,G3,,Sample119,Source_02,,E9,100,50
Dest_02,H3,,Sample120,Source_02,,B10,100,50
Dest_02,A4,,Sample121,Source_02,,D10,100,50
Dest_02,B4,,Sample122,Source_02,,G11,100,50
Dest_02,C4,,Sample123,Source_02,,C1,100,50
Dest_02,D4,,Sample124,Source_02,,E1,100,50
Dest_02,E4,,Sample125,Source_02,,G1,100,50
Dest_02,F4,,Sample126,Source_02,,H1,100,50
Dest_02,G4,,Sample127,Source_02,,A2,100,50
Dest_02,H4,,Sample128,Source_02,,B2,100,50
Dest_02,A5,,Sample129,Source_02,,C2,100,50
Dest_02,B5,,Sample130,Source_02,,D2,100,50
Dest_02,C5,,Sample131,Source_02,,E2,100,50
Dest_02,D5,,Sample132,Source_02,,A3,100,50
Dest_02,E5,,Sample133,Source_02,,B3,100,50
Dest_02,F5,,Sample134,Source_02,,C3,100,50
Dest_02,G5,,Sample135,Source_02,,E3,100,50
Dest_02,H5,,Sample136,Source_02,,G3,100,50
Dest_02,A6,,Sample137,Source_02,,A4,100,50
Dest_02,B6,,Sample138,Source_02,,E4,100,50
Dest_02,C6,,Sample139,Source_02,,G4,100,50
Dest_02,D6,,Sample140,Source_02,,A5,100,50
Dest_02,E6,,Sample141,Source_02,,B5,100,50
Dest_02,F6,,Sample142,Source_02,,F5,100,50
Dest_02,G6,,Sample143,Source_02,,G5,100,50
Dest_02,H6,,Sample144,Source_02,,F6,100,50
Dest_02,A7,,Sample145,Source_02,,H6,100,50
Dest_02,B7,,Sample146,Source_02,,A7,100,50
Dest_02,C7,,Sample147,Source_02,,C7,100,50
Dest_02,D7,,Sample148,Source_02,,F7,100,50
Dest_02,E7,,Sample149,Source_02,,A8,100,50
Dest_02,F7,,Sample150,Source_02,,E8,100,50
Dest_02,G7,,Sample151,Source_02,,F9,100,50
Dest_02,H7,,Sample152,Source_02,,G10,100,50
Dest_02,A8,,Sample153,Source_02,,G11,100,50
Dest_02,B8,,Sample154,Source_02,,B12,100,50
Dest_02,C8,,Sample155,Source_02,,C12,100,50
Dest_02,D8,,Sample156,Source_02,,E12,100,50
Dest_02,E8,,Sample157,Source_02,,H12,100,50
Dest_02,F8,,Sample158,Source_02,,A1,100,50
Dest_02,G8,,Sample159,Source_02,,C1,100,50
Dest_02,H8,,Sample160,Source_02,,E1,100,50
