VI;12;8,1,2,3,4,5,6,7,8,9,10,11,12,
A,120,120,120,120,120,120,120,115.2,108.8,102.4,96,89.6,
B,120,120,120,120,120,120,113.6,107.2,100.8,94.4,88,81.6,
C,120,120,120,120,118.4,112,105.6,99.2,92.8,86.4,80,73.6,
D,120,120,120,116.8,110.4,104,97.6,91.2,84.8,78.4,72,65.6,
E,120,120,115.2,108.8,102.4,96,89.6,83.2,76.8,70.4,64,57.6,
F,120,113.6,107.2,100.8,94.4,88,81.6,75.2,68.8,62.4,56,49.6,
G,112,105.6,99.2,92.8,86.4,80,73.6,67.2,60.8,54.4,48,41.6,
H,104,97.6,91.2,84.8,78.4,72,65.6,59.2,52.8,46.4,40,33.6,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,150,150,150,150,150,150,150,144,136,128,120,112,
,150,150,150,150,150,150,142,134,126,118,110,102,
,150,150,150,150,148,140,132,124,116,108,100,92,
,150,150,150,146,138,130,122,114,106,98,90,82,Cell A1 always must contain the dimensions of the pipette tool. This is validated against the tool.
,150,150,144,136,128,120,112,104,96,88,80,72,Row 1 starting at column B is reserved for the plate column labels but is not required. Just there for readability.
,150,142,134,126,118,110,102,94,86,78,70,62,Column A starting at row 2 is reserved for the plate row labels but is not required. Just there for readability.
,140,132,124,116,108,100,92,84,76,68,60,52,Individual well command format: <Destination well>;<Volume>;<lead air gap>;<trailing air gap>;<VVP residual volume>
,130,122,114,106,98,90,82,74,66,58,50,42,Separator hierarchy is comma between channel instructions and a semi-colon (;) between dispense parameters.
,,,,,,,,,,,,,An empty entry or a volume that is less than or equal to 0 means no channel operation will occur.
,,,,,,,,,,,,,All destination well names will be validated against the destination plate.
